drug,alternative_1,alternative_2,alternative_3
9-(6-deoxy-beta-D-allofuranosyl)-6-methylpurine,9-(6-deoxy-alpha-L-talofuranosyl)-6-methylpurine,Methylthioinosine,Adenosine
Thiocitrulline,Citrulline,S-Butyryl-Cystein,S-Acetyl-Cysteine
1-deoxymannojirimycin,Duvoglustat,Migalastat,"4,6-dideoxy-4-amino-beta-D-glucopyranoside"
"Inositol 2,4,5-trisphosphate","1D-myo-inositol 1,4,5-trisphosphate","1D-myo-inositol 1,3,4-trisphosphate","Inositol 1,3,4,5-Tetrakisphosphate"
SP2456,Remibrutinib,Rilzabrutinib,Lazertinib
7-methyl-guanosine-5'-triphosphate-5'-guanosine,3-Aminomethyl-Pyridinium-Adenine-Dinucleotide,Diguanosine-5'-Triphosphate,Diquafosol
"N,O6-Disulfo-Glucosamine","2,3-Di-O-Sulfo-Alpha-D-Glucopyranose","1D-myo-inositol 1,3,4-trisphosphate","D-Myo-Inositol-1,4-Bisphosphate"
Cp-Coeleneterazine,I-Coeleneterazine,Br-Coeleneterazine,"8-Benzyl-2-Hydroperoxy-2-(4-Hydroxy-Benzyl)-6-(4-Hydroxy-Phenyl)-2h-Imidazo[1,2-a]Pyrazin-3-One"
"2c-Methyl-D-Erythritol 2,4-Cyclodiphosphate","[(4S)-2,2-dimethyl-1,3-dioxolan-4-yl]methyl hydrogen hex-5-enylphosphonate","beta-D-fructofuranose 1,6-bisphosphate","[(4R)-2,2-dimethyl-1,3-dioxolan-4-yl]methyl hydrogen hex-5-enylphosphonate"
Nicotinamide 8-bromo-adenine dinucleotide phosphate,Nadide,3-Acetylpyridine Adenine Dinucleotide,Nicotinamide adenine dinucleotide phosphate
S-(Dimethylarsenic)Cysteine,Leucine,D-Leucine,(3-Carboxy-2-(R)-Hydroxy-Propyl)-Trimethyl-Ammonium
4-Hydroxy-Aconitate Ion,Aconitate Ion,Tartronate,Malate Like Intermediate
Clorobiocin,Velpatasvir,Ledipasvir,Pibrentasvir
Dodecyl sulfate,Eprodisate,Decylsulfonic acid,Vinylsulfonic acid
"1-Methyl-2-Oxy-5,5-Dimethyl Pyrrolidine",Trimethadione,Methyprylon,Isopropyl myristate
"(7R)-7-(6,7-Dihydro-5H-cyclopenta[d]imidazo[2,1-b][1,3]thiazol-2-yl)-2,7-dihydro-1,4-thiazepine-3,6-dicarboxylic acid",Gemifloxacin,LY-2090314,"dimethyl (1R,4S)-5,6-bis(4-hydroxyphenyl)-7-oxabicyclo[2.2.1]hepta-2,5-diene-2,3-dicarboxylate"
Acarbose Derived Hexasaccharide,"4,6-DIDEOXY-4-{[4-[(4-O-HEXOPYRANOSYLHEXOPYRANOSYL)OXY]-5,6-DIHYDROXY-3-(HYDROXYMETHYL)CYCLOHEX-2-EN-1-YL]AMINO}HEXOPYRANOSYL-(1->4)HEXOPYRANOSYL-(1->4)HEXOPYRANOSE","4,6-Dideoxy-4-{[4,5,6-Trihydroxy-3-(Hydroxymethyl)Cyclohex-2-En-1-Yl]Amino}-Alpha-D-Lyxo-Hexopyranosyl-(1->4)-Alpha-D-Threo-Hexopyranosyl-(1->6)-Alpha-L-Threo-Hexopyranose",Dihydro-Acarbose
"2-Amino-4h-1,3-Benzoxathiin-4-Ol","(3R,4R,5R)-5-(HYDROXYMETHYL)-1-(3-PHENYLPROPYL)PIPERIDINE-3,4-DIOL",Xylose-Derived Imidazole,Floxuridine
"3-[2,6,8-Trioxo-9-[(2R,3R,4R)-2,3,4,5-tetrahydroxypentyl]-3H-purin-7-yl]propyl dihydrogen phosphate","3-{2,6,8-trioxo-9-[(2S,3R,4R)-2,3,4,5-tetrahydroxypentyl]-1,2,3,6,8,9-hexahydro-7H-purin-7-Yl}propyl dihydrogen phosphate","3-[2,6,8-Trioxo-9-[(2R,3S,4R)-2,3,4,5-tetrahydroxypentyl]-3H-purin-7-yl]propyl dihydrogen phosphate","4-{2,6,8-Trioxo-9-[(2S,3R,4R)-2,3,4,5-Tetrahydroxypentyl]-1,2,3,6,8,9-Hexahydro-7h-Purin-7-Yl}Butyl Dihydrogen Phosphate"
L-homoarginine,Canavanine,Arginine,D-arginine
Mercuribenzoic Acid,p-Hydroxymercuribenzoic acid,4-hydroxybenzoic acid,Pyrrole-2-Carboxylate
Phosphorylisopropane,Dimethylallyl S-Thiolodiphosphate,(S)-4-bromo-3-hydroxy-3-methylbutyl diphosphate,Isopentyl Pyrophosphate
Trimethyllysine,(3-Carboxy-2-(R)-Hydroxy-Propyl)-Trimethyl-Ammonium,Levocarnitine,N-Methylleucine
Tyrosinal,Oxfenicine,D-4-hydroxyphenylglycine,Arbaclofen
1-[Glycerolylphosphonyl]-2-[8-(2-Hexyl-Cyclopropyl)-Octanal-1-Yl]-3-[Hexadecanal-1-Yl]-Glycerol,Carboxylic PRPP,5-O-phosphono-alpha-D-ribofuranosyl diphosphate,Lysophosphotidylserine
4-(Fluorophenyl)-1-Cyclopropylmethyl-5-(2-Amino-4-Pyrimidinyl)Imidazole,SB220025,"3-(4-Fluorophenyl)-2-(6-Methylpyridin-2-Yl)-5,6-Dihydro-4h-Pyrrolo[1,2-B]Pyrazole","4-[3-(4-chlorophenyl)-2,1-benzisoxazol-5-yl]pyrimidin-2-amine"
"1,4-Dideoxy-5-Dehydro-O2-Sulfo-Glucuronic Acid",Shikimate-3-Phosphate,Fructose-6-phosphate,"2-KETO-6-PHOSPHATE-D-GLUCONIC ACID, ALPHA-FURANOSE FORM"
"Compound 5, 2-(Naphthalen-1-Yl-Oxalyl-Amino)-Benzoicacid",2-[(7-HYDROXY-NAPHTHALEN-1-YL)-OXALYL-AMINO]-BENZOIC ACID,"2-[(1R)-2-carboxy-1-(naphthalen-1-ylmethyl)ethyl]-1,3-dioxo-2,3-dihydro-1H-isoindole-5-carboxylic acid",3-(Oxalyl-Amino)-Naphthalene-2-Carboxylic Acid
"{[2-Amino-4-oxo-6,7-di(sulfanyl-κS)-3,5,5a,8,9a,10-hexahydro-4H-pyrano[3,2-g]pteridin-8-yl]methyl dihydrogenato(2-) phosphate}(dioxo)sulfanylmolybdenum",5'-Guanosine-Diphosphate-Monothiophosphate,Phosphoaminophosphonic acid guanylate ester,Guanosine-5'-Triphosphate
Morpholine-4-Carboxylic Acid [1-(2-Benzylsulfanyl-1-Formyl-Ethylcarbamoyl)-2-Phenyl-Ethyl]-Amide,[1-(3-hydroxy-2-oxo-1-phenethyl-propylcarbamoyl)2-phenyl-ethyl]-carbamic acid pyridin-4-ylmethyl ester,[1-(1-Benzyl-3-Hydroxy-2-Oxo-Propylcarbamoyl)-2-Phenyl-Ethyl]-Carbamic Acid Benzyl Ester,3-[N-[benzyloxycarbonyl]-phenylalaninyl-amino]-5-phenyl-pentane-1-sulfonylmethylbenzene
R-azabisabolene,S-azabisabolene,Levomenol,Perillyl alcohol
6-methyl-formycin A,Guanosine,Immucillin-G,"2-(Beta-D-Glucopyranosyl)-5-Methyl-1,2,3-Benzimidazole"
"2,4-Diamino-6-[N-(3',5'-Dimethoxybenzyl)-N-Methylamino]Pyrido[2,3-D]Pyrimidine","2,4-Diamino-6-[N-(3',4',5'-Trimethoxybenzyl)-N-Methylamino]Pyrido[2,3-D]Pyrimidine","2,4-Diamino-5-Methyl-6-[(3,4,5-Trimethoxy-N-Methylanilino)Methyl]Pyrido[2,3-D]Pyrimidine","N6-(2,5-Dimethoxy-Benzyl)-N6-Methyl-Pyrido[2,3-D]Pyrimidine-2,4,6-Triamine"
"2,6-Diamino-Hexanoic Acid Amide",4-Amino Hexanoic Acid,Epsilon-N-methyllysine,(3R)-3-HYDROXYDODECANOIC ACID
D-Allopyranose,Migalastat,Sorbitan,Lauryl glucoside
4'-nitrophenyl-3i-thiolaminaritrioside,4-NITROPHENYL-(6-S-ALPHA-D-XYLOPYRANOSYL)-BETA-D-GLUCOPYRANOSIDE,NADH,"5,10-Dimethylene Tetrahydromethanopterin"
"2-deoxy-2,3-dehydro-N-acetylneuraminic acid","9-Amino-2-deoxy-2,3-dehydro-n-acetyl-neuraminic acid",Des(carbamimidoyl) zanamivir,N-acetyl-beta-neuraminic acid
3-(Benzoylamino)-L-Alanine,N-BENZOYL-D-ALANINE,N-Carbamoylphenylalanine,Trans-O-Hydroxy-Alpha-Methyl Cinnamate
Isocaproic acid,"N,N-dimethylglycine",Isovaleric Acid,Valproic acid
Ethanolamine,2-Ethoxyethanol,"1,2-Dimethoxyethane",Methoxyamine
Betadex,Alpha-Cyclodextrin (Cyclohexa-Amylose),Adrabetadex,Hydroxypropyl betadex
"3-[(5s)-1-Acetyl-3-(2-Chlorophenyl)-4,5-Dihydro-1h-Pyrazol-5-Yl]Phenol","(2S)-2-(3-bromophenyl)-3-(5-chloro-2-hydroxyphenyl)-1,3-thiazolidin-4-one","(5S)-5-(3-AMINOPROPYL)-3-(2,5-DIFLUOROPHENYL)-N-ETHYL-5-PHENYL-4,5-DIHYDRO-1H-PYRAZOLE-1-CARBOXAMIDE",Filanesib
L-histidinol phosphate,Tetrazolyl Histidine,Histidine,Beta-Hydroxytryptophane
"[2-(Methyleneamine)-4-(4-Hydroxy-Benzylidine)-5-Oxo-4,5-Dihydro-Imidazol-1-Yl]-Acetaldehyde",CHROMOPHORE (LYS-TYR-GLY),Chromophore (Met-Tyr-Gly),[4-(4-Hydroxy-Benzyl)-2-(2-Hydroxy-1-Methyl-Ethyl)-5-Oxo-Imidazolidin-1-Yl]-Acetic Acid
Butylphosphonate,Phosphocysteamine,Phosphorylcolamine,Decylsulfonic acid
Bromo-Willardiine,Iodo-Willardiine,Fluoro-Willardiine,Quisqualic acid
6-(Oxalyl-Amino)-1h-Indole-5-Carboxylic Acid,3-(Oxalyl-Amino)-Naphthalene-2-Carboxylic Acid,"2-(Oxalyl-Amino)-4,7-Dihydro-5h-Thieno[2,3-C]Thiopyran-3-Carboxylic Acid","2-(Oxalyl-Amino)-4,7-Dihydro-5h-Thieno[2,3-C]Pyran-3-Carboxylic Acid"
4-Sulfonamide-[4-(Thiomethylaminobutane)]Benzamide,4-(METHYLSULFONYL)BENZENECARBOXIMIDAMIDE,4-[(METHYLSULFONYL)AMINO]BENZOIC ACID,N-[(4-methoxyphenyl)sulfonyl]-D-alanine
{4-[(2S)-2-Acetamido-3-({(1S)-1-[3-carbamoyl-4-(cyclohexylmethoxy)phenyl]ethyl}amino)-3-oxopropyl]-2-phosphonophenoxy}acetic acid,AP-22408,RU85493,RU83876
"2,6-Diamino-8-(2-Dimethylaminoethylsulfanylmethyl)-3h-Quinazolin-4-One","2,6-Diamino-8-Propylsulfanylmethyl-3h-Quinazoline-4-One",Voxtalisib,2-Amino-6-Aminomethyl-8-Phenylsulfanylmethyl-3h-Quinazolin-4-One
Uridine 5'-triphosphate,Uridine-5'-Diphosphate,Deoxyuridine-5'-Triphosphate,Cytidine-5'-Triphosphate
"[2-Amino-6-(2,6-Difluoro-Benzoyl)-Imidazo[1,2-a]Pyridin-3-Yl]-Phenyl-Methanone",Omipalisib,N-(5-{[(2S)-4-amino-2-(3-chlorophenyl)butanoyl]amino}-1H-indazol-3-yl)benzamide,IPI-549
Bromo-WR99210,Cycloguanil,"6,6-DIMETHYL-1-[3-(2,4,5-TRICHLOROPHENOXY)PROPOXY]-1,6-DIHYDRO-1,3,5-TRIAZINE-2,4-DIAMINE",Simendan
Zinc;[amino-[2-[[5-[amino(azaniumylidene)methyl]benzimidazol-1-id-2-yl]methyl]benzimidazol-1-id-5-yl]methylidene]azanium,Bis(5-Amidino-2-Benzimidazolyl)Methane Ketone Hydrate,Bis(5-Amidino-Benzimidazolyl)Methane,bis(5-amidino-benzimidazolyl)methanone zinc
Dimethyl Propionate Ester Heme,Zn(Ii)-(20-Oxo-Protoporphyrin Ix),Mesoheme,Protoporphyrin Ix Containing Co
2-(3'-Methoxyphenyl) Benzimidazole-4-Carboxamide,2-(3-METHYLPHENYL)-1H-INDOLE-5-CARBOXIMIDAMIDE,2-(2-Hydroxy-5-Methoxy-Phenyl)-1h-Benzoimidazole-5-Carboxamidine,CRA_10656
"2'-(4-Dimethylaminophenyl)-5-(4-Methyl-1-Piperazinyl)-2,5'-Bi-Benzimidazole",Dovitinib,Lorecivivint,Ridinilazole
"(3r)-4-(P-Toluenesulfonyl)-1,4-Thiazane-3-Carboxylicacid-L-Leucine",(1n)-4-N-Butoxyphenylsulfonyl-(2r)-N-Hydroxycarboxamido-(4s)-Methanesulfonylamino-Pyrrolidine,1-Benzyl-3-(4-Methoxy-Benzenesulfonyl)-6-Oxo-Hexahydro-Pyrimidine-4-Carboxylic Acid Hydroxyamide,N-Hydroxy-1-(4-Methoxyphenyl)Sulfonyl-4-Benzyloxycarbonyl-Piperazine-2-Carboxamide
1-Deoxy-1-methoxycarbamido-beta-D-gluco-2-heptulopyranosonamide,1-Deoxy-1-acetylamino-beta-D-gluco-2-heptulopyranosonamide,O-(N-acetyl-alpha-D-galactosaminyl)-L-serine,C-(1-hydrogyl-beta-D-glucopyranosyl) formamide
Alsterpaullone,Nitrazepam,Nitrazolam,ADX-10061
Methionine Phosphinate,Lesogaberan,L-2-amino-3-butynoic acid,"7,8-Diamino-Nonanoic Acid"
2-[3-({Methyl[1-(2-Naphthoyl)Piperidin-4-Yl]Amino}Carbonyl)-2-Naphthyl]-1-(1-Naphthyl)-2-Oxoethylphosphonic Acid,"(S)-2-((S)-3-isobutyl-2,5-dioxo-4-quinolin-3-ylmethyl-[1,4]diazepan-1yl)-N-methyl-3-naphtalen-2-yl-propionamide",Vodobatinib,RU82209
Clorgiline,Chlorphenesin,Mitometh,Triclocarban
S-Isopropyl-Isothiourea,SKF-91488,Metformin,(Diaminomethyl-Methyl-Amino)-Acetic Acid
"4-(2-{[4-{[3-(4-Chlorophenyl)Propyl]Sulfanyl}-6-(1-Piperazinyl)-1,3,5-Triazin-2-Yl]Amino}Ethyl)Phenol","4-[4-AMINO-6-(2,6-DICHLORO-PHENOXY)-[1,3,5]TRIAZIN-2-YLAMINO]-BENZONITRILE","4-(1,3-BENZODIOXOL-5-YLOXY)-2-[4-(1H-IMIDAZOL-1-YL)PHENOXY]-6-METHYLPYRIMIDINE",[4-({4-[(5-cyclopropyl-1H-pyrazol-3-yl)amino]-6-(methylamino)pyrimidin-2-yl}amino)phenyl]acetonitrile
MF268,5-Amino-3-Methyl-Pyrrolidine-2-Carboxylic Acid,5-(Hydroxy-Methyl-Amino)-3-Methyl-Pyrrolidine-2-Carboxylic Acid,Atagabalin
Guanosine tetraphosphate,Guanosine-5'-Triphosphate,5'-Guanylylmethylenebisphosphonate,Phosphoaminophosphonic acid guanylate ester
GDP-alpha-D-mannuronic acid,Uridine-5'-diphosphate-mannose,Uridine diphosphate glucose,Uridine-5'-diphosphate-4-deoxy-4-fluoro-alpha-D-galactose
Serine-3'-aminoadenosine,S-adenosyl-L-homocysteine,Sinefungin,9-(6-deoxy-alpha-L-talofuranosyl)-6-methylpurine
Pseudotropine,Tropinone,Ecgonine,Adamantanone
D-arginine,Arginine,L-homoarginine,Canavanine
Tyvelose,2-Deoxy-alpha-D-galactopyranose,"2-Hexyloxy-6-Hydroxymethyl-Tetrahydro-Pyran-3,5-Diol",Abequose
Phenylalanylamide,methyl L-phenylalaninate,HOMOPHENYLALANINYLMETHANE,3-Amino-4-Oxybenzyl-2-Butanone
"1,3,4,9-Tetrahydro-2-(Hydroxybenzoyl)-9-[(4-Hydroxyphenyl)Methyl]-6-Methoxy-2h-Pyrido[3,4-B]Indole",Sertindole,Ketanserin,Clocapramine
Serine vanadate,"Methionine sulfoximine, (S)-",Erythrityl tetranitrate,Dichromate
Adamantane-1-Carboxylic Acid-5-Dimethylamino-Naphthalene-1-Sulfonylamino-Butyl-Amide,Adamantane-1-Carboxylic Acid-5-Dimethylamino-Naphthalene-1-Sulfonylamino-Octyl-Amide,Petesicatib,Fasitibant
Z-Ala Prolinal,Enalapril,1-ETHOXYCARBONYL-D-PHE-PRO-2(4-AMINOBUTYL)HYDRAZINE,Lisinopril
Ribulose-5-Phosphate,L-Xylulose 5-Phosphate,4-Phospho-D-erythronohydroxamic acid,4-phospho-L-threonic acid
Ceftazidime BATSI,(2E)-2-({(2S)-2-CARBOXY-2-[(PHENOXYACETYL)AMINO]ETHOXY}IMINO)PENTANEDIOIC ACID,Tidiacic arginine,[(2-AMINO-ALPHA-METHOXYIMINO-4-THIAZOLYLACETYL)AMINO]METHYLBORONIC ACID
Coenzyme A persulfide,Coenzyme A,Oxidized coenzyme A,4-hydroxybenzyl coenzyme A
"N,N-Bis(4-Chlorobenzyl)-1h-1,2,3,4-Tetraazol-5-Amine",(2S)-2-(4-chlorophenyl)-2-[4-(1H-pyrazol-4-yl)phenyl]ethanamine,Fipamezole,(2R)-2-(4-chlorophenyl)-2-[4-(1H-pyrazol-4-yl)phenyl]ethanamine
Ergosterol,beta-Sitosterol,25-Hydroxycholesterol,Iodocholesterol (131I)
3-Oxo-Pentadecanoic Acid,Laevulinic Acid,Aminolevulinic acid,N-hexadecanoylglycine
"N-[1,3-Di(4-morpholinyl)-2-propanyl]-3-(α-D-galactopyranosyloxy)-5-nitrobenzamide",N-Benzyl-3-(alpha-D-galactopyranosyloxy)benzamide,3-(alpha-D-Galactopyranosyloxy)-5-nitrobenzamide,"2,4-Dinitrophenyl 2-Deoxy-2-Fluoro-Beta-D-Allopyranoside"
Nitrocefin Acyl-Serine,Nitrocefin,Molybdenum cofactor,Latanoprostene bunod
"2-[4-(Hydroxy-Methoxy-Methyl)-Benzyl]-7-(4-Hydroxymethyl-Benzyl)-1,1-Dioxo-3,6-Bis-Phenoxymethyl-1lambda6-[1,2,7]Thiadiazepane-4,5-Diol","3-[[(3R,4S,5S,6R)-7-Benzyl-4,5-dihydroxy-1,1-dioxo-3,6-bis(phenoxymethyl)-1,2,7-thiadiazepan-2-yl]methyl]-N-methylbenzamide","N-[3-[4-(3-aminopropyl)piperazin-1-yl]propyl]-3-[(2-thiophen-2-ylacetyl)amino]-5-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxybenzamide",Fostroxacitabine bralpamide
Carboxymycobactin T,Penimepicycline,Carboxymycobactin S,Hydrogenobyrinic acid
4-{2-[(3-Nitrobenzoyl)Amino]Phenoxy}Phthalic Acid,"4-{2,4-Bis[(3-Nitrobenzoyl)Amino]Phenoxy}Phthalic Acid",(5-CHLORO-2-{[(3-NITROBENZYL)AMINO]CARBONYL}PHENOXY)ACETIC ACID,3-[(3-Nitrophenyl)sulfamoyl]-2-thiophenecarboxylic acid
(R)-methylmalonyl-CoA,(R)-3-hydroxydecanoyl-CoA,Hexanoyl-CoA,Octanoyl-Coenzyme A
Methyl beta-galactoside,"2-Hexyloxy-6-Hydroxymethyl-Tetrahydro-Pyran-3,4,5-Triol",methyl beta-D-glucopyranoside,Methyl alpha-galactoside
6-hydroxymethylpterin diphosphate,"2-Acetyl-3-[(4-Amino-2-Methyl-5-Pyrimidinyl)Methyl]-4-Methyl-5-(4,6,6-Trihydroxy-3,5-Dioxa-4,6-Diphosphahex-1-Yl)Thiazolium Inner Salt P,P'-Dioxide",Phosphorylated Dihydropteroate,Folic acid
N-Carbamoyl-Alanine,N-Carbamyl-D-Methionine,N-Acetylmethionine,N-Carbamyl-D-Valine
Coelenteramide,Tirbanibulin,Ravuconazole,Isavuconazole
N-Propyl Isocyanide,N-Butyl Isocyanide,Isocyanomethane,Ethyl Isocyanide
5-phenylpentanoic acid,3-phenylpropionic acid,Phenylbutyric acid,Benzoic acid
"3,4-Xylenol",Amylmetacresol,"3,4-dimethylaniline",o-Cymen-5-ol
Hypophosphite,Nitrite,Sodium bicarbonate,Sodium bisulfite
"9-Butyl-8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine","9-Butyl-8-(2,5-Dimethoxy-Benzyl)-9h-Purin-6-Ylamine","8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9-Pent-9h-Purin-6-Ylamine","8-Benzo[1,3]Dioxol-,5-Ylmethyl-9-Butyl-2-Fluoro-9h-Purin-6-Ylamine"
"2,3-Dicarboxy-4-(2-Chloro-Phenyl)-1-Ethyl-5-Isopropoxycarbonyl-6-Methyl-Pyridinium",Ioglicic acid,Metrizoic acid,Ioxitalamic acid
"N-[4-([(2-Amino-4-oxo-1,4-dihydropyrido[3,2-d]pyrimidin-6-yl)methyl]{(2E)-3-[4-carbamoyl-1-(5-O-phosphono-beta-D-ribofuranosyl)-1H-imidazol-5-yl]-2-propenoyl}amino)benzoyl]-L-glutamic acid",Ceftaroline fosamil,Thymectacin,Cefodizime
N-Carbamoylphenylalanine,N-acetyltyrosine,N-BENZOYL-D-ALANINE,Glycyltyrosine
8-(Pyrimidin-2-Ylamino)Naphthalene-2-Carboximidamide,6-(N-Phenylcarbamyl)-2-Naphthalenecarboxamidine,6-[(Z)-AMINO(IMINO)METHYL]-N-[3-(CYCLOPENTYLOXY)PHENYL]-2-NAPHTHAMIDE,6-[N-(4-(Aminomethyl)Phenyl)Carbamyl]-2-Naphthalenecarboxamidine
"(5-methyl-6-oxo-1,6-dihydro-pyridin-3-yl)-1,2-dideoxy-ribofuranose-5-monophosphate",3'-THIO-THYMIDINE-5'-PHOSPHATE,3'-Fluoro-3'-deoxythymidine 5'-monophosphate,Thymidine monophosphate
Alpha-Amino-2-Indanacetic Acid,Ethylaminobenzylmethylcarbonyl Group,Beta-(2-Naphthyl)-Alanine,"(1S)-2-[(2S,5R)-2-(AMINOMETHYL)-5-ETHYNYLPYRROLIDIN-1-YL]-1-CYCLOPENTYL-2-OXOETHANAMINE"
beta-D-fucose,alpha-D-quinovopyranose,Beta-D-Glucose,beta-L-fucose
alpha-Methylleucine,D-Isovaline,"2,3-Dihydroxy-Valerianic Acid",Trimethyllysine
Nogalaviketone,Oxidized Acetyl Dithranol,Rhein,Rheinanthrone
N-Cyclopentyl-N-Cyclobutylformamide,Cetiedil,Dihexyverine,Procyclidine
p-Coumaric acid,"2,4-Dihydroxy-Trans Cinnamic Acid",4-(Carboxyvin-2-Yl)Phenylboronic Acid,"3,4-Dihydroxycinnamic Acid"
4-hydroxybenzyl coenzyme A,4-hydroxybenzoyl-CoA,4-hydroxyphenacyl coenzyme A,Oxidized coenzyme A
"2',3'-dideoxy-3'-fluoro-urididine-5'-diphosphate",Deoxyuridine-5'-Diphosphate,"2'-deoxyuridine 5'-alpha,beta-imido-diphosphate",Deoxyuridine-5'-Triphosphate
"5,6-Dihydro-Benzo[H]Cinnolin-3-Ylamine",Phenothiazine,Cicletanine,Mesulfen
6-Deoxyerythronolide B,Erythromycin,Clarithromycin,Plicamycin
Cpad,Carba-nicotinamide-adenine-dinucleotide,3-Acetylpyridine Adenine Dinucleotide,Nadide
Alpha-Methylisocitric Acid,gamma-carboxy-L-glutamic acid,Nz-(Dicarboxymethyl)Lysine,3-(1-Aminoethyl)Nonanedioic Acid
N-{3-[4-(3-amino-propyl)-piperazin-1-yl]-propyl}-3-nitro-5-(galactopyranosyl)-beta-benzamide,N-{3-[4-(3-aminopropyl)piperazin-1-yl]propyl}-3-(alpha-D-galactopyranosyloxy)-5-nitrobenzamide,3-(alpha-D-Galactopyranosyloxy)-5-nitrobenzamide,"N-[3-[4-(3-aminopropyl)piperazin-1-yl]propyl]-3-[(2-thiophen-2-ylacetyl)amino]-5-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxybenzamide"
alpha-Ketoisovalerate,alpha-Keto-beta-methylvaleric acid,alpha-Ketoisocaproic acid,alpha-Keto-isoleucine
N-Acetyl-L-Glutamate,Carglumic acid,N-Carbamoylaspartic acid,N-Succinyl Methionine
Hypoxanthine,Mercaptopurine,Tisopurine,9-Deazahypoxanthine
"Heptane-1,2,3-Triol",D-Treitol,Erythritol,Xylitol
RU78191,Mandelic acid,Phthalic Acid,Quinolinic Acid
"(4s-Trans)-4-(Methylamino)-5,6-Dihydro-6-Methyl-4h-Thieno(2,3-B)Thiopyran-2-Sulfonamide-7,7-Dioxide",Dorzolamide,Brinzolamide,AL-4623
Decyloxy-Methanol,"Hexane-1,6-Diol",Trolamine,2-{2-[2-2-(Methoxy-Ethoxy)-Ethoxy]-Ethoxy}-Ethanol
N(6)-(pyridoxal phosphate)-L-lysine,4-(2-Amino-Ethoxy)-2-[(3-Hydroxy-2-Methyl-5-Phosphonooxymethyl-Pyridin-4-Ylmethyl)-Amino]-but-3-Enoic Acid,N-PYRIDOXYL-D-GLUTAMIC ACID-5'-MONOPHOSPHATE,N-(5'-Phosphopyridoxyl)-D-Alanine
2-deoxy-2-fluoro-α-D-mannose,2-deoxy-2-fluoro-α-D-glucose,2-deoxy-2-fluoro-β-D-mannose,2-deoxy-2-fluoro-β-D-galactose
Bis(N-maleimidomethyl)ether,Succinimide,"2,4-thiazolidinedione",ABH001
"2',4'-Dinitrophenyl-2deoxy-2-Fluro-B-D-Cellobioside",4-NITROPHENYL-(6-S-ALPHA-D-XYLOPYRANOSYL)-BETA-D-GLUCOPYRANOSIDE,4'-nitrophenyl-3i-thiolaminaritrioside,Uridine-5'-diphosphate-2-deoxy-2-fluoro-alpha-D-galactose
Open Form of 2'-Deoxy-Ribofuranose-5'-Phosphate,2-Deoxy-Glucitol-6-Phosphate,Arabinose-5-phosphate,L-xylitol 5-phosphate
2-[{4-[(2S)-2-{[(Allyloxy)carbonyl]amino}-3-({4-[3-hydroxy-2-(methoxycarbonyl)phenoxy]butyl}amino)-3-oxopropyl]phenyl}(carboxycarbonyl)amino]benzoic acid,2-{[4-(2-Acetylamino-2-pentylcarbamoyl-ethyl)-naphthalen-1-YL]-oxalyl-amino}-benzoic acid,N-(3-Carboxypropanoyl)-L-phenylalanyl-3-carboxy-O-(carboxymethyl)-N-pentyl-L-tyrosinamide,(6R)-Folinic acid
AL5300,"Al-6619, [2h-Thieno[3,2-E]-1,2-Thiazine-6-Sulfonamide,2-(3-Hydroxyphenyl)-3-(4-Morpholinyl)-, 1,1-Dioxide]","(3Z)-N,N-DIMETHYL-2-OXO-3-(4,5,6,7-TETRAHYDRO-1H-INDOL-2-YLMETHYLIDENE)-2,3-DIHYDRO-1H-INDOLE-5-SULFONAMIDE","2-(cycloheptylmethyl)-1,1-dioxido-1-benzothiophen-6-yl sulfamate"
RH-1,Carboquone,Diaziquone,Hexobarbital
Apstatin,Flovagatran,N-(Sulfanylacetyl)Tyrosylprolylmethioninamide,"N-({(2S,3S)-3-[(BENZYLAMINO)CARBONYL]OXIRAN-2-YL}CARBONYL)-L-ISOLEUCYL-L-PROLINE"
Undecanal,Oxygen,Nitrosoethane,Formaldehyde
4-hydroxybutan-2-one,Acetohydroxamic acid,Hydroxyurea,Caprylhydroxamic acid
9-Deazahypoxanthine,Tisopurine,Mercaptopurine,Hypoxanthine
"(2R,3R,4R,5R)-4,5-Dihydroxy-2-(hydroxymethyl)-6-oxo-3-piperidinyl beta-D-glucopyranoside",Sucralose,Imidazole-Derived Cellobiose,Dodecyl-Alpha-D-Maltoside
Uridine-5'-diphosphate-4-deoxy-4-fluoro-alpha-D-galactose,Uridine diphosphate glucose,Uridine-5'-diphosphate-mannose,Uridine-5'-diphosphate-2-deoxy-2-fluoro-alpha-D-galactose
Balanol,Epigallo Catechin Gallate,Epigallocatechin gallate,Balanol Analog 2
Deamido-Nad+,Adenylate-3'-phosphate-[[2'-deoxy-uridine-5'-phosphate]-3'-phosphate],Adenylyl-(3'-5')-uridine 3'-monophosphate,Bis(Adenosine)-5'-Pentaphosphate
